JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Director de Innovación Legal,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Researching about dataviz,201
Senior Fellow,Scientist,60–69 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,11–20 hours,"Research, writing, organizational meetings meetings",202
Research fellow,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,More than 30 hours,"Research, writing",203
Product Designer,Designer,40–49 hours,None,None,6–10 hours,6–10 hours,21–30 hours,"research, UI, design systems",204
Product Designer,Designer,50–59 hours,5 hours or less,5 hours or less,11–20 hours,21–30 hours,5 hours or less,"Research, test, validate, get feedback",205
independent,Scientist,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,"research, sourcing relevant data",206
Data journalist,,30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,11–20 hours,"Research, interviews, writing",207
Machine Learning Scientist,Journalist,40–49 hours,More than 30 hours,11–20 hours,5 hours or less,5 hours or less,More than 30 hours,"Research, data collection",208
Information Designer & Data Illustrator,Designer,50–59 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,11–20 hours,"Research, Creative Direction, Meeting, Presentation",209
Data Science Manager,Academic/Teacher,30–39 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,"Research tools, frameworks and testing compatibility with systems",210
"Manager, data and products","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Research to understand the subject matter,211
Quantitative UX Researcher,Scientist,40–49 hours,6–10 hours,11–20 hours,5 hours or less,11–20 hours,5 hours or less,Research planing,212
Founder & Chief Executive Member,Analyst,20–29 hours,5 hours or less,5 hours or less,,6–10 hours,6–10 hours,Research on subject matter,213
GIS Consultant,Student,20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Research on appropriate and innovative ways to communicate the data,214
Master Blackbelt,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Research internet for VBA coding tips,215
Unemployed,Student,20–29 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Research how to do stuff,216
,Analyst,Fewer than 20 hours,5 hours or less,6–10 hours,None,5 hours or less,5 hours or less,Research and learning how to do things more efficiently,217
Executive Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,research / feedback from potential audience,218
Senior Vice President,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Research,219
Data Visualization and BI Analyst,Developer,50–59 hours,None,6–10 hours,5 hours or less,More than 30 hours,6–10 hours,Research,220
Data Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,6–10 hours,Research,221
UI/UX Designer Expert,Designer,30–39 hours,None,None,None,None,5 hours or less,Research,222
Sr. Research Data Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Research,223
Data Integration Analyst,,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,Research,224
Analytic Program Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Requirements Gathering, project management",225
Data science,Developer,50–59 hours,21–30 hours,More than 30 hours,11–20 hours,More than 30 hours,5 hours or less,Requirements gathering / mapping,226
Technology and innovation lead,Analyst,40–49 hours,5 hours or less,11–20 hours,None,5 hours or less,None,Requirements gathering,227
Data Visualization Developer,,30–39 hours,6–10 hours,5 hours or less,None,11–20 hours,5 hours or less,Requirements gathering,228
Data Analyst,Engineer,40–49 hours,21–30 hours,None,5 hours or less,6–10 hours,6–10 hours,requirement gathering,229
"Senior Consultant, Analytics",Engineer,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,"requesting access to data, exploring datasets",230
Director of evaluation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Reporting,231
Community Research and Evaluation Manager,Scientist,40–49 hours,5 hours or less,6–10 hours,None,11–20 hours,5 hours or less,"Report layout, design, production",232
"Senior Manager, Business Analytics","Leadership (Manager, Director, VP, etc.)",40–49 hours,21–30 hours,21–30 hours,21–30 hours,21–30 hours,21–30 hours,"Relationship building and stakeholder management, consultation, strategy and framework development",233
Consultant,Engineer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Regression Models, graphs using matplotlib",234
Multimedia content manager,None of these describes my role,40–49 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,"Reformatting for social media promotion, mobile design, etc",235
Consultant,None of these describes my role,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,Refactoring code from R/Python into a data viz platform.,236
Data visualization engineer,Developer,50–59 hours,6–10 hours,5 hours or less,5 hours or less,21–30 hours,6–10 hours,Refactoring code,237
Data Visualization Lead,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,11–20 hours,"recording virtual asynchronous training sessions, managing/coaching team members, meetings with clients",238
professor,Academic/Teacher,50–59 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,"reading, reviewing, reflecting on viz options",239
Visiting Assistant Teaching Professor,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,11–20 hours,Reading data viz papers and news,240
Self Employed - Business Data Analyst,,Fewer than 20 hours,,5 hours or less,,,,"Reading ""Storytelling with Data""",241
Business Analyst,Analyst,40–49 hours,5 hours or less,11–20 hours,11–20 hours,11–20 hours,5 hours or less,R visuals,242
Senior Data Scientist and Visualization Engineer,None of these describes my role,20–29 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,6–10 hours,"QA, discussing and incorporating feedback, etc",243
UX / UI Designer,Designer,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,5 hours or less,"QA, Coordinate with client, write JIRA tickets",244
Student Analytics Educator/Analyst,Developer,40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,QA,245
data illustrator,Designer,20–29 hours,None,None,6–10 hours,None,21–30 hours,putting together a course on a project,246
,Designer,40–49 hours,More than 30 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Publication stuff: social media and website,247
Associate Director,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,None,None,5 hours or less,6–10 hours,5 hours or less,Providing training,248
Postdoctoral fellow,Academic/Teacher,,None,None,None,None,5 hours or less,Providing feedback on visualizations,249
President & Lead Designer,Designer,30–39 hours,None,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Prototyping,250
bi consultant,Analyst,70 or more hours,6–10 hours,More than 30 hours,11–20 hours,More than 30 hours,11–20 hours,"prototype,sketch",251
Senior Scientist,,50–59 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,"Proposal & paper writing, junior staff management, visualization hardware administration",252
"Group Director, Client Insights","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,proofing,253
Information Designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,"Promoting my visualization work! Marketing, social media, internal comms, etc",254
Global Head of Graphics,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,More than 30 hours,Project review for staff / art and design direction / giving guidance on data sources,255
Data Visualization Specialist,Designer,40–49 hours,5 hours or less,None,5 hours or less,6–10 hours,11–20 hours,project management; data viz training/education,256
Sr. R&D Manager,Developer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,6–10 hours,"Project Management, Training other team members",257
Managing Director,,40–49 hours,,,5 hours or less,,More than 30 hours,"Project Management, Stakeholder Management, Product Strategy",258
Data Visualization Lead,Designer,40–49 hours,None,None,11–20 hours,6–10 hours,5 hours or less,"project management, scoping, project planning",259
University Research Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,11–20 hours,"project management, meetings",260
Principal data visualisation producer,Developer,30–39 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,6–10 hours,"Project management, line management",261
Data Visualization Specialist,Engineer,40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,21–30 hours,"Project Management, and Consultant coordination activities",262
Data Communication Specialist,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Project management, administration, producing supplemental content like writing, documentation, or webpages",263
Supervisor,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Project management and staff supervision,264
Data Visualization Specialist,Designer,30–39 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,Project Management and communication,265
Director of Business Intelligence,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,11–20 hours,6–10 hours,11–20 hours,6–10 hours,project management (aligning stakeholders and scoping level of effort),266
data visualization specialist,Scientist,60–69 hours,5 hours or less,None,5 hours or less,21–30 hours,21–30 hours,project management,267
Analytics manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,Project management,268
Graphic designer,Designer,40–49 hours,5 hours or less,None,5 hours or less,21–30 hours,5 hours or less,Project management,269
Junior Information Designer,Designer,30–39 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Project management,270
Head of Data Visualization,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,,6–10 hours,11–20 hours,,Project Management,271
Senior data scientist,Developer,50–59 hours,11–20 hours,5 hours or less,11–20 hours,11–20 hours,6–10 hours,Programming the backend,272
Senior programmer/data scientist,Scientist,20–29 hours,6–10 hours,6–10 hours,11–20 hours,,21–30 hours,Programming,273
Director of Accreditation and Institutional Effectiveness,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,Professional development to improve skills; problem solving with functional users; sharing visualizations and providing training,274
